"NAME" "INCHKEY" "SMILES" "RT"
"17" "16-Glucuronide-estriol" "FQYGGFDZJFIDPU-JRSYHJKYSA-N" "C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)CCC5=C3C=CC(=C5)O" 6.493533
"18" "2',3'-Dideoxyinosine" "BXZVVICBKDXVGW-NKWVEPMBSA-N" "C1C[C@@H](O[C@@H]1CO)N2C=NC3=C2NC=NC3=O" 3.440333
"19" "2'-Deoxyadenosine-5'-monophosphate" "KHWCHTKSEGGWEX-RRKCRQDMSA-N" "C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)COP(=O)(O)O)O" 8.62615
"20" "2'-Deoxycytidine" "CKTSBUTUHBMZGZ-SHYZEUOFSA-N" "C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O" 5.867533
"21" "2'-Deoxyguanosine 3'-monophosphate" "QQMSZHORHNORLP-KVQBGUIXSA-N" "C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)CO)OP(=O)(O)O" 9.43305
"22" "2'-Deoxyguanosine 5'-monophosphate" "LTFMZDNNPPEQNG-KVQBGUIXSA-N" "C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)O)O" 9.253134
"23" "2'-Deoxyguanosine" "YKBGVTZYEHREMT-KVQBGUIXSA-N" "C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)CO)O" 6.3972
"24" "2'-O-Methyl-5-methylcytidine" "CNVRVGAACYEOQI-FDDDBJFASA-N" "CC1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)OC" 4.93095
"25" "2'-O-Methyl-5-methyluridine" "YHRRPHCORALGKQ-FDDDBJFASA-N" "CC1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)OC" 1.747817
"26" "2'-O-Methyladenosine" "FPUGCISOLXNPPC-IOSLPCCCSA-N" "CO[C@@H]1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)CO)O" 2.599517
"27" "2'-O-Methylcytidine" "RFCQJGFZUQFYRF-ZOQUXTDFSA-N" "CO[C@@H]1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O" 5.020566
"28" "2'-O-Methylguanosine" "OVYNGSFVYRPRCG-KQYNXXCUSA-N" "CO[C@@H]1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)CO)O" 5.721283
"29" "2'-O-Methylinosine" "HPHXOIULGYVAKW-IOSLPCCCSA-N" "CO[C@@H]1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC3=O)CO)O" 4.063567
"30" "2'-O-Methyluridine" "SXUXMRMBWZCMEN-ZOQUXTDFSA-N" "CO[C@@H]1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O" 2.24455
"31" "2,3-Butanediol" "OWBTYPJTUOEWEK-UHFFFAOYSA-N" "CC(C(C)O)O" 3.335817
"32" "2,3-Dideoxycytidine" "WREGKURFCTUGRC-POYBYMJQSA-N" "C1C[C@@H](O[C@@H]1CO)N2C=CC(=NC2=O)N" 4.5395
"33" "2,3-Dideoxyuridine" "BTOTXLJHDSNXMW-POYBYMJQSA-N" "C1C[C@@H](O[C@@H]1CO)N2C=CC(=O)NC2=O" 1.730683
"34" "2,6-Diaminopimelic acid" "GMKMEZVLHJARHF-UHFFFAOYSA-N" "C(CC(C(=O)O)N)CC(C(=O)O)N" 9.8776
"35" "2,8-Quinolinediol" "ZXZKYYHTWHJHFT-UHFFFAOYSA-N" "C1=CC2=C(C(=C1)O)NC(=O)C=C2" 1.527183
"36" "2-(2-Aminoethyl)pyridine" "XPQIPUZPSLAZDV-UHFFFAOYSA-N" "C1=CC=NC(=C1)CCN" 5.521983
"37" "2-alpha-Mannobiose" "HIWPGCMGAMJNRG-VXSGSMIHSA-N" "C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O[C@H]2[C@H]([C@@H]([C@H](OC2O)CO)O)O)O)O)O)O" 9.47485
"38" "2-Amino-3-methoxybenzoic acid" "SXOPCLUOUFQBJV-UHFFFAOYSA-N" "COC1=CC=CC(=C1N)C(=O)O" 1.274067
"39" "2-Aminoacetophenone" "HEQOJEGTZCTHCF-UHFFFAOYSA-N" "C1=CC=C(C=C1)C(=O)CN" 1.079283
"40" "2-Aminoethanethiol" "UFULAYFCSOUIOV-UHFFFAOYSA-N" "C(C[S-])[NH3+]" 2.048917
"41" "2-Aminoethylphosphonic acid" "QQVDJLLNRSOCEL-UHFFFAOYSA-N" "C(CP(=O)(O)O)N" 9.391
"42" "2-Aminophenol" "CDAWCLOXVUBKRW-UHFFFAOYSA-N" "C1=CC=C(C(=C1)N)O" 1.21715
"43" "2-Chloro-N6-cyclopentyladenosine" "XSMYYYQVWPZWIZ-IDTAVKCVSA-N" "C1CCC(C1)NC2=NC(=NC3=C2N=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)Cl" 1.473533
"44" "2-Chloroadenosine" "BIXYYZIIJIXVFW-UUOKFMHZSA-N" "C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(N=C2N)Cl" 2.688733
"45" "2-Deoxycytidine-5-monophosphoric acid" "NCMVOABPESMRCP-SHYZEUOFSA-N" "C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)O)O" 9.157367
"46" "2-Deoxyuridine" "MXHRCPNRJAMMIM-SHYZEUOFSA-N" "C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O" 2.961367
"47" "2-Hexenal" "MBDOYVRWFFCFHM-SNAWJCMRSA-N" "CCC/C=C/C=O" 1.391383
"48" "2-Hydroxyacetophenone" "ZWVHTXAYIKBMEE-UHFFFAOYSA-N" "C1=CC=C(C=C1)C(=O)CO" 4.363717
"49" "2-Hydroxychalcone" "UDOOPSJCRMKSGL-ZHACJKMWSA-N" "C1=CC=C(C=C1)C(=O)/C=C/C2=CC=CC=C2O" 1.01425
"50" "2-Hydroxyquinoline" "LISFMEBWQUVKPJ-UHFFFAOYSA-N" "C1=CC=C2C(=C1)C=CC(=O)N2" 1.5113
"51" "2-Methoxy-4-vinylphenol" "YOMSJEATGXXYPX-UHFFFAOYSA-N" "COC1=C(C=CC(=C1)C=C)O" 8.708667
"52" "2-Phenylacetamide" "LSBDFXRDZJMBSC-UHFFFAOYSA-N" "C1=CC=C(C=C1)CC(=O)N" 1.256583
"53" "2-Propanamidoacetic acid" "WOMAZEJKVZLLFE-UHFFFAOYSA-N" "CCC(=O)NCC(=O)O" 5.372817
"54" "2-Pyridone" "UBQKCCHYAOITMY-UHFFFAOYSA-N" "C1=CC(=O)NC=C1" 2.048917
"55" "2-Thiocytidine" "RHFUOMFWUGWKKO-XVFCMESISA-N" "C1=CN(C(=S)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O" 5.325333
"56" "2-Thiouridine" "GJTBSTBJLVYKAU-XVFCMESISA-N" "C1=CN(C(=S)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O" 2.477283
"57" "3',5'-Cyclic dAMP" "MKMZAENVDZADSW-RRKCRQDMSA-N" "C1[C@H]2[C@@H](COP(=O)(O2)O)O[C@H]1N3C=NC4=C3N=CN=C4N" 7.285817
"58" "3'-O-Methylcytidine" "RZJCFLSPBDUNDH-ZOQUXTDFSA-N" "CO[C@@H]1[C@H](O[C@H]([C@@H]1O)N2C=CC(=NC2=O)N)CO" 5.0887
"59" "3'-O-Methylguanosine" "UYARPHAXAJAZLU-KQYNXXCUSA-N" "CO[C@@H]1[C@H](O[C@H]([C@@H]1O)N2C=NC3=C2NC(=NC3=O)N)CO" 5.801317
"60" "3'-O-Methyluridine" "YKNATSNMFLEFRB-ZOQUXTDFSA-N" "CO[C@@H]1[C@H](O[C@H]([C@@H]1O)N2C=CC(=O)NC2=O)CO" 2.417733
"61" "3,4-Dihydroxymandelic acid" "RGHMISIYKIHAJW-UHFFFAOYSA-N" "C1=CC(=C(C=C1C(C(=O)O)O)O)O" 2.295783
"62" "3,4-Dihydroxyphenylalanine" "WTDRDQBEARUVNC-UHFFFAOYSA-N" "C1=CC(=C(C=C1CC(C(=O)O)N)O)O" 8.312567
"63" "3,4-Dimethoxybenzaldehyde" "WJUFSDZVCOTFON-UHFFFAOYSA-N" "COC1=C(C=C(C=C1)C=O)OC" 1.0755
"64" "3,5-Dihydroxyphenylglycine" "IFXDBKRFNXPGNO-UHFFFAOYSA-N" "C1=C(C=C(C=C1O)O)NCC(=O)O" 8.184566
"65" "3-(1-Pyrazolyl)-alanine" "PIGOPELHGLPKLL-YFKPBYRVSA-N" "C1=CN(N=C1)C[C@@H](C(=O)[O-])[NH3+]" 7.541717
"66" "3-Amino-3-(4-hydroxyphenyl)propionic acid" "JYPHNHPXFNEZBR-UHFFFAOYSA-N" "C1=CC(=CC=C1C(CC(=O)O)N)O" 7.423183
"67" "3-Aminotyrosine" "POGSZHUEECCEAP-UHFFFAOYSA-N" "C1=CC(=C(C=C1CC(C(=O)O)N)N)O" 8.061784
"68" "3-beta-Cholest-5-en-3-yl [2-(dimethylamino)ethyl]carbamate" "HIHOWBSBBDRPDW-PTHRTHQKSA-N" "C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OC(=O)NCCN(C)C)C)C" 2.339833
"69" "3-Chlorotyrosine" "ACWBBAGYTKWBCD-ZETCQYMHSA-N" "C1=CC(=C(C=C1C[C@@H](C(=O)O)N)Cl)O" 7.1316
"70" "3-Deoxyuridine" "QOXJRLADYHZRGC-SHYZEUOFSA-N" "C1[C@H](O[C@H]([C@@H]1O)N2C=CC(=O)NC2=O)CO" 2.866283
"71" "3-Guanidinopropionic acid" "KMXXSJLYVJEBHI-UHFFFAOYSA-N" "C(CN=C(N)N)C(=O)O" 7.67055
"72" "3-Hydroxyanthranilic acid" "WJXSWCUQABXPFS-UHFFFAOYSA-N" "C1=CC(=C(C(=C1)O)N)C(=O)O" 1.476983
"73" "3-Hydroxybenzaldehyde" "IAVREABSGIHHMO-UHFFFAOYSA-N" "C1=CC(=CC(=C1)O)C=O" 1.179417
"74" "3-Hydroxykynurenine" "VCKPUUFAIGNJHC-UHFFFAOYSA-N" "C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)[O-])[NH3+]" 7.35485
"75" "3-Hydroxyphenylacetic acid" "FVMDYYGIDFPZAX-UHFFFAOYSA-N" "C1=CC(=CC(=C1)O)CC(=O)O" 1.29935
"76" "3-Hydroxyphenylalanine" "JZKXXXDKRQWDET-UHFFFAOYSA-N" "C1=CC(=CC(=C1)O)CC(C(=O)[O-])[NH3+]" 7.442133
"77" "3-Hydroxyproline" "BJBUEDPLEOHJGE-BKLSDQPFSA-N" "C1CN[C@@H](C1O)C(=O)O" 7.743733
"78" "3-Hydroxysebacic acid" "OQYZCCKCJQWHIE-UHFFFAOYSA-N" "C(CCCC(=O)O)CCC(CC(=O)O)O" 2.54945
"79" "3-Indoleacetic acid" "SEOVTRFCIGRIMH-UHFFFAOYSA-N" "C1=CC=C2C(=C1)C(=CN2)CC(=O)O" 1.329383
"80" "3-Indoleacetonitrile" "DMCPFOBLJMLSNX-UHFFFAOYSA-N" "C1=CC=C2C(=C1)C(=CN2)CC#N" 8.023833
"81" "3-Indolepropionic acid" "GOLXRNDWAUTYKT-UHFFFAOYSA-N" "C1=CC=C2C(=C1)C(=CN2)CCC(=O)O" 1.275483
"82" "3-Methylcrotonylglycine" "PFWQSHXPNKRLIV-UHFFFAOYSA-N" "CC(=CC(=O)NCC(=O)O)C" 2.953083
"83" "3-Methylcytidine" "RDPUKVRQKWBSPK-ZOQUXTDFSA-N" "CN1C(=N)C=CN(C1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O" 6.991034
"84" "3-Methylhistidine" "JDHILDINMRGULE-LURJTMIESA-N" "CN1C=NC=C1C[C@@H](C(=O)O)N" 9.408733
"85" "3-Methyloxyindole" "BBZCPUCZKLTAJQ-UHFFFAOYSA-N" "CC1C2=CC=CC=C2NC1=O" 1.072817
"86" "3-Methylthiopropylamine" "KKYSBGWCYXYOHA-UHFFFAOYSA-N" "CSCCCN" 5.159917
"87" "3-Nitrotyrosine" "FBTSQILOGYXGMD-LURJTMIESA-N" "C1=CC(=C(C=C1C[C@@H](C(=O)O)N)[N+](=O)[O-])O" 6.87715
"88" "3-Phosphonopropionic acid" "NLBSQHGCGGFVJW-UHFFFAOYSA-N" "C(CP(=O)(O)O)C(=O)O" 8.5907
"89" "3-Pyridinemthanol" "MVQVNTPHUGQQHK-UHFFFAOYSA-N" "C1=CC(=CN=C1)CO" 1.410767
"90" "3-Ureidopropionic acid" "JSJWCHRYRHKBBW-UHFFFAOYSA-N" "C(CNC(=O)N)C(=O)O" 5.570183
"91" "4,5,7-Trihydroxyisoflavone" "TZBJGXHYKVUXJN-UHFFFAOYSA-N" "C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O" 1.26575
"92" "4-Acetamidobutyric acid" "UZTFMUBKZQVKLK-UHFFFAOYSA-N" "CC(=O)NCCCC(=O)O" 2.301283
"93" "4-Acetylbutyric acid" "MGTZCLMLSSAXLD-UHFFFAOYSA-N" "CC(=O)CCCC(=O)O" 1.2388
"94" "4-Aminobenzoic acid" "ALYNCZNDIQEVRV-UHFFFAOYSA-N" "C1=CC(=CC=C1C(=O)O)N" 7.34195
"95" "4-Guanidinobutyric acid" "TUHVEAJXIMEOSA-UHFFFAOYSA-N" "C(CC(=O)O)CN=C(N)N" 7.608333
"96" "4-Hydroxy-4-methyl-2-pentanone" "SWXVUIWOUIDPGS-UHFFFAOYSA-N" "CC(=O)CC(C)(C)O" 4.881467
"97" "4-Hydroxy-6-methyl-2-pyrone" "NSYSSMYQPLSPOD-UHFFFAOYSA-N" "CC1=CC(=CC(=O)O1)O" 1.469383
"98" "4-Hydroxybenzaldehyde" "RGHHSNMVTDWUBI-UHFFFAOYSA-N" "C1=CC(=CC=C1C=O)O" 1.17675
"99" "4-Hydroxyhippuric acid" "ZMHLUFWWWPBTIU-UHFFFAOYSA-N" "C1=CC(=CC=C1C(=O)NCC(=O)O)O" 5.862884
"100" "4-Hydroxymandelonitrile" "HOOOPXDSCKBLFG-UHFFFAOYSA-N" "C1=CC(=CC=C1C(C#N)O)O" 2.627867
"101" "4-Hydroxyphenylethanol" "PMRFBLQVGJNGLU-UHFFFAOYSA-N" "CC(C1=CC=C(C=C1)O)O" 8.0268
"102" "4-Hydroxyphenylpyruvic acid" "KKADPXVIOXHVKN-UHFFFAOYSA-N" "C1=CC(=CC=C1CC(=O)C(=O)O)O" 1.222883
"103" "4-Hydroxyquinoline" "PMZDQRJGMBOQBF-UHFFFAOYSA-N" "C1=CC=C2C(=C1)C(=O)C=CN2" 1.69245
"104" "4-Methyl-5-thiazoleethanol" "BKAWJIRCKVUVED-UHFFFAOYSA-N" "CC1=C(SC=N1)CCO" 1.213667
"105" "4-Methylumbelliferone" "HSHNITRMYYLLCV-UHFFFAOYSA-N" "CC1=CC(=O)OC2=C1C=CC(=C2)O" 1.216317
"106" "4-Methylumbelliferyl acetate" "HXVZGASCDAGAPS-UHFFFAOYSA-N" "CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C" 1.0629
"107" "4-Nitroquinoline-N-oxide" "YHQDZJICGQWFHK-UHFFFAOYSA-N" "C1=CC=C2C(=C1)C(=CC=[N+]2[O-])[N+](=O)[O-]" 1.143817
"108" "4-Pyridoxic acid" "HXACOUQIXZGNBF-UHFFFAOYSA-N" "CC1=NC=C(C(=C1O)C(=O)O)CO" 2.5782
"109" "4-Quinolinecarboxylic acid" "VQMSRUREDGBWKT-UHFFFAOYSA-N" "C1=CC=C2C(=C1)C(=CC=N2)C(=O)O" 4.5784
"110" "4-Thiouridine" "ZLOIGESWDJYCTF-XVFCMESISA-N" "C1=CN(C(=O)NC1=S)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O" 2.273517
"111" "4-Trimethylammoniobutanoic acid" "JHPNVNIEXXLNTR-UHFFFAOYSA-O" "C[N+](C)(C)CCCC(=O)O" 7.66005
"112" "5'-Methylthioadenosine" "WUUGFSXJNOTRMR-IOSLPCCCSA-N" "CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O" 2.52555
"113" "5'-O-Methylthymidine" "KTCKNHCDUKONFQ-DJLDLDEBSA-N" "CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COC)O" 1.464917
"114" "5,6-Dihydrouracil" "OIVLITBTBDPEFK-UHFFFAOYSA-N" "C1CNC(=O)NC1=O" 1.765617
"115" "5,6-Dimethylbenzimidazole" "LJUQGASMPRMWIW-UHFFFAOYSA-N" "CC1=CC2=C(C=C1C)N=CN2" 1.8238
"116" "5-Aminoimidazole-4-carboxamide" "DVNYTAVYBRSTGK-UHFFFAOYSA-N" "C1=NC(=C(N1)C(=O)N)N" 4.178783
"117" "5-AminosalicylicA acid" "KBOPZPXVLCULAV-UHFFFAOYSA-N" "C1=CC(=C(C=C1N)C(=O)O)O" 3.887467
"118" "5-Aminovaleric acid" "JJMDCOVWQOJGCB-UHFFFAOYSA-N" "C(CCN)CC(=O)O" 7.63845
"119" "5-Fluro-2-pyrimidone" "HPABFFGQPLJKBP-UHFFFAOYSA-N" "C1=C(C=NC(=O)N1)F" 1.773283
"120" "5-Flurocytosine" "XRECTZIEBJDKEO-UHFFFAOYSA-N" "C1=NC(=O)NC(=C1F)N" 4.6172
"121" "5-Hydroxy-3-indoleacetic acid" "DUUGKQCEGZLZNO-UHFFFAOYSA-N" "C1=CC2=C(C=C1O)C(=CN2)CC(=O)O" 1.775067
"122" "5-Hydroxymethylcytidine" "NFEXJLMYXXIWPI-JXOAFFINSA-N" "C1=C(C(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)CO" 7.539866
"123" "5-Hydroxymethylcytosine" "RYVNIFSIEDRLSJ-UHFFFAOYSA-N" "C1=NC(=O)NC(=C1CO)N" 6.9049
"124" "5-Hydroxytryptophan" "LDCYZAJDBXYCGN-UHFFFAOYSA-N" "C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)[O-])[NH3+]" 7.480433
"125" "5-Methoxy-3-indoleacetic acid" "COCNDHOPIHDTHK-UHFFFAOYSA-N" "COC1=CC2=C(C=C1)NC=C2CC(=O)O" 1.3291
"126" "5-Methoxypsoralen" "BGEBZHIAGXMEMV-UHFFFAOYSA-N" "COC1=C2C=CC(=O)OC2=CC3=C1C=CO3" 1.074817
"127" "5-Methoxytryptamine" "JTEJPPKMYBDEMY-UHFFFAOYSA-N" "COC1=CC2=C(C=C1)NC=C2CCN" 4.990867
"128" "5-Methoxytryptophol" "QLWKTGDEPLRFAT-UHFFFAOYSA-N" "COC1=CC2=C(C=C1)NC=C2CCO" 1.1794
"129" "5-Methoxyuridine" "ZXIATBNUWJBBGT-JXOAFFINSA-N" "COC1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O" 4.716133
"130" "5-Methyl-2-thiouridine" "SNNBPMAXGYBMHM-JXOAFFINSA-N" "CC1=CN(C(=S)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O" 1.98375
"131" "5-Methylcytidine" "ZAYHVCMSTBRABG-JXOAFFINSA-N" "CC1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O" 6.390517
"132" "5-Methyluridine" "DWRXFEITVBNRMK-JXOAFFINSA-N" "CC1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O" 4.188033
"133" "5-Nonyloxytryptamine" "YHSMSRREJYOGQJ-UHFFFAOYSA-N" "CCCCCCCCCOC1=CC2=C(C=C1)NC=C2CCN" 3.4021
"134" "6,7-Dihydroxycoumarin" "ILEDWLMCKZNDJK-UHFFFAOYSA-N" "C1=CC(=O)OC2=CC(=C(C=C21)O)O" 1.473367
"135" "6-Aminoindazole" "KEJFADGISRFLFO-UHFFFAOYSA-N" "C1=CC2=C(C=C1N)NN=C2" 1.263433
"136" "6-Hydroxycaproic acid" "IWHLYPDWHHPVAA-UHFFFAOYSA-N" "C(CCC(=O)O)CCO" 1.339833
"137" "6-Hydroxyflavone" "GPZYYYGYCRFPBU-UHFFFAOYSA-N" "C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)O" 1.259133
"138" "6-Methyl-5-hepten-2-ol" "OHEFFKYYKJVVOX-UHFFFAOYSA-N" "CC(CCC=C(C)C)O" 7.303067
"139" "6-Methyladenosine" "VQAYFKKCNSOZKM-IOSLPCCCSA-N" "CNC1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O" 3.3539
"140" "6-Methylmercaptopurine" "UIJIQXGRFSPYQW-UHFFFAOYSA-N" "CSC1=NC=NC2=C1NC=N2" 1.493
"141" "7,8-Dihydrobiopterin" "FEMXZDUTFRTWPE-UHFFFAOYSA-N" "CC(C(C1=NC2=C(NC1)NC(=NC2=O)N)O)O" 7.17545
"142" "7-Methylguanosine" "OGHAROSJZRTIOK-KQYNXXCUSA-O" "CN1C=[N+](C2=C1C(=O)N=C(N2)N)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O" 7.33695
"143" "8-Oxo-2-deoxyadenosine" "NDWAUKFSFFRGLF-YRZWDFBDSA-N" "C1[C@@H]([C@H](OC1N2C3=C(C(=NC=N3)N)NC2=O)CO)O" 5.105183
"144" "Abietic acid" "RSWGJHLUYNHPMX-ONCXSQPRSA-N" "CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)O)C" 1.11335
"145" "Abscisic acid" "JLIDBLDQVAYHNE-LXGGSRJLSA-N" "CC1=CC(=O)CC(C1(/C=C/C(=C\C(=O)O)/C)O)(C)C" 1.325883
"146" "Acarbose" "XUFXOAAUWZOOIT-UGEKTDRHSA-N" "C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO" 9.88195
"147" "Acetaminophen glucuronide" "IPROLSVTVHAQLE-BYNIDDHOSA-N" "CC(=O)NC1=CC=C(C=C1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O" 7.726067
"148" "Acetaminophen" "RZVAJINKPMORJF-UHFFFAOYSA-N" "CC(=O)NC1=CC=C(C=C1)O" 1.37395
"149" "Acetanilide" "FZERHIULMFGESH-UHFFFAOYSA-N" "CC(=O)NC1=CC=CC=C1" 1.108633
"150" "Acetohydroxamic acid" "RRUDCFGSUDOHDG-UHFFFAOYSA-N" "CC(=O)NO" 2.940067
"151" "Acetylcarnitine" "RDHQFKQIGNGIED-MRVPVSSYSA-O" "CC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C" 7.193583
"152" "Actinomycin D" "RJURFGZVJUQBHK-IIXSONLDSA-N" "C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C" 1.028767
"153" "Actrarit" "MROJXXOCABQVEF-UHFFFAOYSA-N" "CC(=O)NC1=CC=C(C=C1)CC(=O)O" 1.58415
"154" "Adenine" "GFFGJBXGBJISGV-UHFFFAOYSA-N" "C1=NC2=C(N1)C(=NC=N2)N" 4.593633
"155" "Adenosine 3',5'-cyclic monophosphate" "IVOMOUWHDPKRLL-KQYNXXCUSA-N" "C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=CN=C4N)O)OP(=O)(O1)O" 7.616333
"156" "Adenosine 5'-monophosphate" "UDMBCSSLTHHNCD-KQYNXXCUSA-N" "C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O" 8.884117
